"ttmt" "ID" "rep" "mercury" "Count.Y0" "Count.Y24" "Count.R0" "Count.R24" "RF_w" "RF_r" "RF_slope" "strain" "host" "host.label" "plasmid" "reference_host" "reference_host_label" "reference_plasmid" "reference"
"3B" "3B.H" 4 40 2363 1962 2613 3469 1.10620355444553 0.469335018510737 -0.76358977525315 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B" 1 0 2272 2453 2733 2562 0.969827348311927 -0.141262967888836 -2.02787397597842 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3B" "3B.H" 1 40 2272 2151 2733 2932 1.02747260880208 0.125012527651786 -0.477954679136938 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25" "YFP" "pQBR57d0059" "SBW25.YFP pQBR57d0059"
"3C" "3C" 8 0 2755 2528 2182 2821 1.07586297036224 0.342838510929247 -0.682111312721958 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 9 0 2383 2422 2447 3030 1.04272866075499 0.197466388046448 -0.591619469403399 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 6 0 2410 2547 2569 2800 1.0066116333957 0.0308132505586549 0.423698071444674 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 7 40 2340 2520 2716 2855 0.994829044582422 -0.0241963387421986 6.1802906818799 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 7 0 2340 2528 2716 2956 1.00158020909075 0.00739924647450518 0.345740164166418 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C" 3 0 2348 2394 2616 2839 1.01349394931999 0.0624037387259504 0.0955910969439766 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
"3C" "3C.H" 4 40 2622 2402 2298 3084 1.08452042500262 0.381823937958235 -0.765152787188357 "SBW25d4242.dTomato pQBR57" "SBW25d4242" "dTomato" "pQBR57" "SBW25d4242" "YFP" "pQBR57" "SBW25d4242.YFP pQBR57"
